!,440146613583740928,left server,,,
(Hâ‚®)Hâ‹‚â‚¦â‚®âˆ„Æ¦,365551496143699968,,,,
(IX)BOBBOSS10.0,371717311452807170,,,Why is this here?,
a letter a,753912635875000400,,,"This list lets the World Record bot attach world records to discord users. If you want to be added to the sheet or need something corrected, contact @EternalFrost#0955 on discord with your submission name",
[sck]BREAKING RECORDS,461602641684856834,,,,
{ER},758940515479060500,,,,
ã€”ğ’ˆã€•Â»ğ•†ğ•šğ•ğ•ğ•’ğ•ŸÂ«,314381785100320768,,,,
<?W> Whoops,282984610466365451,,,,
<â‚> â‚­Ç¿rÉ‡a,695979117262405643,,,,
â™«Playfulâ™«,347015092854063115,,,,
ğŸ”¥Ñ¶Î±×§ğŸ”±à¹€Î·Ñ”ğŸ”¥,380933616898932746,left server,,,
ğŸ¥•Crazy CarrotğŸ¥•,793757433071271936,,,,
$hortstop,296760437637120020,,,,
2 Lagcreator,418232252607102986,,,,
à¹“à¹‘,271060300197920769,,,,
A2,305749380110221313,,,,
Ablue,330867539917799434,left server,,,
Absol,301402719841812480,,,,
deepfreeze,821424796805758987,,,,
pool noodle,161258442386833408,,,,
Roman,662462279144439858,left server,,,
ğŸ‹,377761651220283392,left server,,,
AMagicalWizardPie,211138712866652160,deleted account,,,
Antelope,402575452595683328,,,,
asd,592034533113593906,deleted account,,,
Astra,340270483838599168,deleted account,,,
ä¹ƒÎá’áƒUDÎ”,448559284515635202,left server,,,
Best potato,352314617197887489,left server,,,
Bird,768614040766906418,,,,
BOOM! Tetris for Jeff,294398895788916739,,,,
evil isopod,939314067057823774,,,,
Buddy_Dog ,195467865435013120,,,,
C1 X,452834299498987521,,,,
Candy!,337669764308664330,deleted account,,, 
CaptainCloud,427180509408395270,left server,,,
clockatiel,589574464904364059,,,,
Clyde.,328249595530575872,left server,,,
CombineZ,310839580553248771,deleted account,,,
CongratsIsTrash,452793079238361089,left server,,,
core from syd
,571661098789371926,,,,
Crazoodles,244258267096678401,,,,
crong,550127910577766430,Banned from server,,,
CWWW,458405233517658133,,,,
CX,282327981106659328,,,,
Damocles,342038795757027329,,,,
Darks its Me,443075037013213206,,,,
Darky,627436445669392385,,,,
DeadLord,336594857395224579,,,,
deathrain,578032183730503680,deleted account,,,
Denied,478673246749720577,,,,
Denmark,389145102477557771,left server,,,
Deolveopoler,257822821877547010,left server,,,
DevinSucksAtLife,610832550054723597,,,,
Die?,282303137870512129,left server,,,
DopeMope,294954433047953411,left server,,,
Dark,362995365525454848,left server,,,
DragonFiire,247132778724851712,,,,
jax,577959861103493121,,,,
Dukeonkled,185851073469218816,left server,,,
[MG] Spin2Team,514953447636729866,,,,
EB,554823990011494413,,,,
eel,403197793738686476,,,,
Mr.Chemistry,435906617066913794,Banned from server,,,
4m,398571474329403403,left server,,,
eneri,265310998775332865,left server,,,
ENIGMA,430788144045096981,,,,
EternalFrost,345346351875358721,left server,,,
ExC,290552549889671168,,,,
Execute X,290136571259256832,deleted account,,,
Fiffyfly,422847724254396448,deleted account,,,
Giggity,499689267682082821,,,,
Heck,293562380443451392,left server,,,
Hertz,471617137170186250,,,,
hewo,556761028214390807,left server,,,
hi,801135896933040170,,,,
hmmm,309065908440268804,left server,,,
HMS Flying Sniper,327918538419601409,,,,
lotion,721904629599961088,left server,,,
Hurricane,450219532108169216,,,,
HZ6,704993086463410186,left server,,,
êªï»‰É­É­Æˆà¸„á•,115148165128257544,left server,,,
Ice Cream Samich,509890397351182339,,,,
icewalk,522420337334419470,,,,
istiR,310531464083013633,Banned from server,,,
Jackson,102167500237594624,,,,
Jake,666674569343664138,,,,
Jazz,912580732336107551,Banned from server,,,
JB Colombia,273275170427240459,deleted account,,,
JellySnk,726015892986789978,,,,
Jeshan,311099653963907074,left server,,,
Jimmy,242828908741918721,deleted account,,,
johnronald,294313986776629248,left server,,,
jsohi,572089660789227523,,,,
K. Whale,429102308866129931,,,,
KC,317365047640850442,Banned from server,,,
KevinGHB,373845446646431746,left server,,,
LAD,437239316146683905,,,,
Lag,492835919317958657,left server,,,
Legenda,711017367961993256,,,,
literal cancer,473987742422925322,deleted account,,,
LittleAnvil,434510590933991434,left server,,,
LooOOooL,456664720406085632,,,,
Lord,318799498556080128,,,,
Cybertrap,702825547872469142,,,,
Mine,471042191960047616,,,,
MoonMan,350446238682054658,,,,
moouse,411924557910245406,Banned from server,,,
MrFarmz,423507498860019723,,,,
Myst,406243166258200586,deleted account,,,
Mythical,830585596774318140,,,,
nata,699930553838731294,,,,
NBPB,525348366364704780,,,,
Neonlights,556547142890684452,,,,
Neph,298569359683616769,left server,,,
Neptuun,883777298199883796,,,,
NeutronS,475467483130757132,left server,,,
Nonknull,439696546687221760,,,,
not a bot,378631019730960387,left server,,,
Oganesson 118,242916983878844417,Banned from server,,,
Î¹Î±,422129522792595456,,,,
Orange Creamsicle,769212182549626920,deleted account,,,
bean,464767296578125855,,,,
Heatherly,937951177063137311,,,,
pedal,914762081281134612,deleted account,,,
Perfection!!!,430466431868600321,,,,
Pewpew,372860790702866432,left server,,,
Phoenix,390546573794476033,,,,
pingu,518686257912741918,,,,
PokeSvorlds,217542099132743681,,,,
Polaris A,338415646159273985,left server,,,
Potatobuffer,385472277120286730,,,,
potatotomato,180046139402354690,,,,
Psychlow,250764230330941440,,,,
Quadruplex,285065684042645504,deleted account,,,
Raptor,585038732512591882,,,,
Ray,904798356205875330,Banned from server,,,
red,375837262501642251,left server,,,
rela ğŸ£,317918632200110080,left server,,,
Road,308096389194186755,left server,,,
Rog456,464237082705920001,,,,
RUBIK,284381889865973762,left server,,,
S3CR3T,284422213862424589,,,,
Salt,499361854129438731,left server,,,
Sep.,444942037351923722,left server,,,
ShinyLitwick,246791823924789248,,,,
Shyguymask,141743593676210177,left server,,,
someone :),452909968799301649,left server,,,
Sonder,663194258055888946,Banned from server,,,
Stardust,978736676815912960,,,,
Sterlon,209355062600794112,deleted account,,,
Steve,271499181913407488,,,,
Stradpult,214692767329157120,,,,
Summersong,321795710267949056,deleted account,,,
Sunburst,324043026714329090,,,,
tallon,454663451512537100,,,,
Thing,661211628447989771,Banned from server,,,
tofu,363459949034078210,deleted account,,,
trtl,420700241403052032,,,,
UltraV,335205050257244161,,,,
ğ‘‰ğ“ªğ“·ğ“®ğ“¼ğ“¼ğ“ª,339343230833262592,left server,,,
Vengeance,254761712916365312,deleted account,,,
Vuk13,285407330160345089,deleted account,,,
WitheredRobux,413446258825625613,left server,,,
WL9,782454210465497118,,,,
Wolf Striker,517123690383540261,Banned from server,,,
XCobra,472726389406171157,left server,,,
YKW,348527192918982656,left server,,,
your time,392165445144281098,,,,
YT-TY,338084231714570251,left server,,,
YT=GLITCHER TM,554373154672476191,,,,
Zeo'Xe,242024762010763266,,,,
zo,745057963198382100,,,,
fe,859713250106277899,,,,