,,,Record Amount/Value,Submitter(s),Proof,,,,,Record Amount/Value,Submitter(s),Proof,,,,,Record Amount/Value,Submitter(s),Proof,,,,,Record Amount/Value,Submitter(s),Proof,,,,,Record Amount/Value,Submitter(s),Proof
,Time-based Records,,,,,,,Shape and Boss Records,,,,,,,Challenge-based Records,,,,,,,Miscellaneous Records,,,,,,,Score-based Records,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Fastest 100k,,3 seconds,duc,https://imgur.com/a/rkLGBdA,,,Most bosses killed in a single run,,32,Sonder,https://imgur.com/gallery/HUFulHU,,,Highest score without taking damage,,,,,,,Highest Latency,,14729453.8 ms,Yukihira,https://imgur.com/a/pCFOENN,,,Most 1m+ in a single server,,10,"bottle, Corrupt Y, Minty, Roman, red, к'-тω-Dahyun, baking soda, ExC, Sonder, [MG] Spin2Team",https://imgur.com/a/9JWE9tV
,Fastest 500k,,2 Min 5 Sec,lTorenn,https://imgur.com/a/QqMQDZO,,,Highest score Crasher,,623.61k,ExC,https://cdn.discordapp.com/attachments/395646588682240020/818601211577630780/unknown.png,,,Most amount of extra stat points at 1m+,,20,theikeaman,https://imgur.com/a/ehpKdvm,,,Highest Farmed Score,,1.31mil,pool noodle,https://imgur.com/a/NPg8ZtM,,,Most 2m+ in a single server,,6,"Corrupt Y, [LK], ια, Jazz, Mr.Chemistry, Sonder",https://imgur.com/gallery/RklYNcB
,Longest Run,,4 Hours 42 Min 29 Sec,Worst Player in History,https://imgur.com/gallery/Wy5ziMT,,,Highest score Sentry,,3.00mil,"DragonFiire, Rog456, 4m, istiR, bean",https://www.youtube.com/watch?v=rYEr3XILSN4,,,Highest score without Moving,,297.53k,edamameといふ人,https://www.youtube.com/watch?v=CSUTZ-I9rKA,,,Highest Farmed Score,,6.94mil,Damocles,http://imgur.com/a/cHb8BDS,,,Most 5m+ in a single server,,2,"bottle, Roman",https://imgur.com/a/U2fLm0t
,Longest Pacifist Run,,2 Hours 53 Min,Core,https://imgur.com/becN7tD,,,Highest score Egg,,,,,,,Highest score with no shape kills,,1.01mil,sensen100,https://imgur.com/a/aC54yP3,,,Most Polygons Killed,,13839,4m,https://www.youtube.com/watch?v=r1rhpHIi39s,,,Highest Mothership Score,,17.77mil,an unknown player,https://imgur.com/a/ph1Pn6v
,Longest run without shape kills,,2 Hour 37 Min 23 Sec,amongus character,https://imgur.com/a/jBVNgvu,,,Highest score Square,,340.51k,4m,https://cdn.discordapp.com/attachments/699754631873560717/838691789438320660/unknown.png,,,Highest score with screenshot mode enabled,,1.12mil,evil isopod,https://www.youtube.com/watch?v=Tfgb2KGzIMg,,,Most popular Arras Video,,"529,123 Views",Bird,https://www.youtube.com/watch?v=mDoM17h-L5o,,,Highest Siege Score,,12.35mil,Jackson,https://imgur.com/a/O6KaQTL
,Highest score in 1 minute,,601071,Awootube,https://imgur.com/a/icfr01U,,,Highest score Triangle,,600.31k,@_@,https://www.youtube.com/watch?v=gJtoiV1pN3U,,,,,,,,,,,,,,,,,Highest Winter Mayhem Score,,8.35mil,Jackson,https://imgur.com/a/PtN4x80
,Highest score in 5 minutes,,1014893,Quad,https://youtu.be/wEfkr_cfp5A,,,Highest score Pentagon,,508.07k,fe,https://imgur.com/a/bMgv0Uc,,,,,,,,,,,,,,,,,Highest Old Healer Score,,4.25mil,Ellenion,https://imgur.com/a/k9LQFXD
,Highest score in 10 minutes,,1208346,Orange,https://imgur.com/Oc1WtkR,,,Highest score Beta Pentagon,,2.06mil,🥕Crazy Carrot🥕,https://www.youtube.com/watch?v=3Mubvba2kdg,,,,,,,,,,,,,,,,,Highest Healer Score,,2.04mil,buff barricade,https://imgur.com/a/QhY53Pf
,Greatest kill:time ratio,,0.429kills/sec,Roman,https://media.discordapp.net/attachments/395646588682240020/843453655982145556/image0.png?,,,Highest score Alpha Pentagon,,1.30mil,🥕Crazy Carrot🥕,https://www.youtube.com/watch?v=QEGNJmfl9dc,,,,,,,,,,,,,,,,,Highest Ambulance Score,,2.76mil,truper,https://imgur.com/gallery/FxN8u0E
,Greatest score:time ratio,,"25,550 points/second",4m,https://cdn.discordapp.com/attachments/623970422001500196/701066258195415150/Screenshot_4156.png,,,Highest score Shiny Shape,,1.78mil,ay96,https://imgur.com/gallery/xW5sLsC,,,,,,,,,,,,,,,,,Highest Medic Score,,3.77mil,truper,https://imgur.com/gallery/whEOods
,Fastest Domination Game,,1min 08sec,🥕Crazy Carrot🥕,https://www.youtube.com/watch?v=mi8k1ih-ZLg,,,Highest score Elite Crasher,,6.21mil,"Ｔｈｅ  Ｕｎｋｎｏｗｎ, sensen100",https://imgur.com/a/w6L25Y5,,,,,,,,,,,,,,,,,Highest Paramedic Score,,7.07mil,Lucario,https://imgur.com/a/sij1DrZ
,Fastest Mothership Game,,1min 06sec,🥕Crazy Carrot🥕,https://www.youtube.com/watch?v=gTmEu4un1_4,,,Highest score Strange Boss,,3.34mil,𝐔,https://imgur.com/a/fHt4AiT,,,"All challenge based recods, unless said otherwise, must be competed in FFA or Maze",,,,,,,,,,,,,,Highest Surgeon Score,,2.88mil,@_@,https://imgur.com/a/gu9whxA
,Fastest Assault Game,,1min 34sec,⚽🔵βeta-chan🔴⚽,https://www.youtube.com/watch?v=udJeP40CFJQ,,,Highest score Rogue Celestial,,6.14mil,大星術士,https://imgur.com/a/bmmZLkX,,,,,,,,,,,,,,,,,Highest Assault Score,,5.62mil,Thing,https://cdn.discordapp.com/attachments/688618660499423344/906659538546065468/WJl5Swc.png
,Fastest Soccer Game,,4min 37sec,"Sap, -, pool noodle",https://www.youtube.com/watch?v=vLt2Gq0h1ns,,,Highest score Celestial,,20.45mil,"FromAsia, Pandora, Sap",https://cdn.discordapp.com/attachments/395646588682240020/808311339478810635/FB101AD5-A3C4-4FB7-B9B3-DD59E340627E.jpeg,,,,,,,,,,,,,,,,,Highest Tag Score,,3.30mil,Silk,https://imgur.com/a/u4icBrI
,,,,,,,,Highest score Final Boss,,38.10mil,"poui, Corrupt X, Medical Surgeon Unit",https://imgur.com/a/TTPMbHY,,,,,,,,,,,,,,,,,Highest Space TDM Score,,2.88mil,nata,https://imgur.com/a/j3Tc9jW
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Soccer Score,,3.51mil,WL9,https://cdn.discordapp.com/attachments/395646588682240020/906594835866198017/screenshot_-_2021-11-06T132345.393.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Spooky Mansion Score,,2.01mil,µano,https://imgur.com/VaQ93Vy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Teamer Maze Score,,11.10mil,Roman,https://cdn.discordapp.com/attachments/662470901329035264/959791613398376448/unknown.png
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Graveyard Score,,6.91mil,Nguyen,https://imgur.com/a/08V0arr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Highest Growth Score,,19.06mil,fire :),https://imgur.com/a/gYtk5wk